date,SalesAmount,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday6,holiday7,holiday8,short_business_hour,day_temp,night_temp,day_weather,night_weather,event,web_traffic,training
2016-01-17,25673,2016,1,17,1,0,0,0,0,0,0,0,0,0,0,0,10,-1,good,good,0,564,0
2016-01-10,29123,2016,1,10,1,0,0,0,0,0,0,0,0,0,0,0,6,3,little_trouble,little_trouble,0,546,1
2016-02-13,27929,2016,2,13,7,1,0,0,0,0,0,0,0,0,0,0,12,3,fair,little_trouble,0,384,1
2016-02-14,35972,2016,2,14,1,0,0,0,0,0,0,0,0,0,0,1,5,-3,fair,good,0,642,1
2016-02-15,21161,2016,2,15,2,0,0,0,0,0,0,0,0,0,0,0,8,-2,good,good,0,445,1
2016-02-17,18627,2016,2,17,4,0,0,0,0,0,0,0,0,0,0,0,14,1,fair,good,0,403,1
2016-01-18,12440,2016,1,18,2,0,0,0,0,0,0,0,0,0,0,0,8,-2,good,good,0,315,0
2016-02-18,23454,2016,2,18,5,0,0,0,0,0,0,0,0,0,0,0,16,3,good,good,0,374,1
2016-02-21,27077,2016,2,21,1,0,0,0,0,0,0,0,0,0,0,0,11,4,little_trouble,small_trouble,0,577,1
2016-01-31,25338,2016,1,31,1,0,0,0,0,0,0,0,0,0,0,0,3,-2,med_trouble,small_trouble,0,458,1
2016-02-24,14526,2016,2,24,4,0,0,0,0,0,0,0,0,0,0,0,14,2,good,good,0,362,1
2016-02-25,20617,2016,2,25,5,0,0,0,0,0,0,0,0,0,0,0,16,13,good,good,0,320,1
2016-02-26,17937,2016,2,26,6,0,0,0,0,0,0,0,0,0,0,0,19,7,good,good,0,354,1
2016-02-02,19940,2016,2,2,3,1,0,0,0,0,0,0,0,0,0,0,6,-4,good,good,0,455,1
2016-01-20,14221,2016,1,20,4,0,0,0,0,0,0,0,0,0,0,0,5,0,little_trouble,med_trouble,0,308,1
2016-01-09,28305,2016,1,9,7,0,0,0,0,0,0,0,0,0,0,0,8,3,fair,little_trouble,0,489,0
2016-01-21,16006,2016,1,21,5,0,0,0,0,0,0,0,0,0,0,0,3,-1,small_trouble,med_trouble,0,266,1
2016-02-29,13625,2016,2,29,2,0,0,0,0,0,0,0,0,0,0,0,17,4,good,good,0,316,1
2016-02-03,23998,2016,2,3,4,0,0,0,0,0,0,0,0,0,0,0,8,-2,good,fair,0,464,1
2016-02-04,24004,2016,2,4,5,0,0,0,0,0,0,0,0,0,0,1,10,-2,good,good,0,470,1
2016-03-02,13626,2016,3,2,4,0,0,0,0,0,0,0,0,0,0,0,18,10,good,little_trouble,0,278,1
2016-01-22,17073,2016,1,22,6,0,0,0,0,0,0,0,0,0,0,0,2,-4,small_trouble,fair,0,344,1
2016-03-03,23770,2016,3,3,5,0,0,0,0,0,0,0,0,0,0,0,20,11,little_trouble,good,0,286,1
2016-01-15,16418,2016,1,15,6,0,0,0,0,0,0,0,0,0,0,0,10,0,good,good,0,338,1
